"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
 ",Continent
Gabon,109,,1,,7,101,,49,04,572,257,Africa
Ethiopia,108,,3,,16,89,1,09,003,7557,66,Africa
Aruba,97,,2,,49,46,4,909,19,1442,13506,North America
French Guiana,97,1,,,69,28,2,325,,,,South America
Monaco,94,,3,,22,69,3,2395,76,,,Europe
Sudan,92,26,12,2,8,72,,2,03,,,Africa
Liberia,91,,8,,7,76,,18,2,,,Africa
Bermuda,86,,5,,35,46,10,1381,80,638,10244,North America
Togo,84,,5,,52,27,,10,06,4295,519,Africa
Liechtenstein,81,,1,,55,25,,2124,26,900,23605,Europe
Equatorial Guinea,79,,,,4,75,,56,,854,609,Africa
Barbados,75,,5,,19,51,4,261,17,1035,3602, North America
Sint Maarten,67,,10,,12,45,6,1563,233,163,3802,North America
Guyana,65,,7,,9,49,4,83,9,322,409,South America
Zambia,61,,3,,33,25,1,3,02,2586,141,Africa
Cabo Verde,61,,1,,1,59,,110,2,,,Africa
Cayman Islands,61,,1,,7,53,3,928,15,702,10681,North America
Bahamas,60,,9,,11,40,1,153,23,,,North America
French Polynesia,55,,,,2,53,1,196,,1302,4635,Australia/Oceania
Uganda,55,,,,28,27,,1,,12565,275,Africa
Maldives,52,,,,16,36,,96,,3714,6871,Asia
Libya,51,,1,,11,39,,7,01,725,106,Africa
Guinea-Bissau,50,,,,3,47,,25,,1500,762,Africa
Haiti,47,,3,,,44,,4,03,498,44,North America
Macao,45,,,,17,28,1,69,,,,Asia
Syria,39,,3,,5,31,,2,02,,,Asia
Eritrea,39,,,,3,36,,11,,,,Africa
Mozambique,39,,,,8,31,,1,,1037,33,Africa
Saint Martin,37,,2,,19,16,5,957,52,,,North America
Benin,35,,1,,18,16,,3,008,,,Africa
Sierra Leone,35,,,,6,29,,4,,,,Africa
Chad,33,,,,8,25,,2,,,,Africa
Mongolia,33,1,,,7,26,,10,,1554,474,Asia
Nepal,31,,,,4,27,,1,,29567,1015,Asia
Zimbabwe,25,,3,,2,20,,2,02,2851,192,Africa
Angola,24,,2,,6,16,,07,006,,,Africa
Antigua and Barbuda,23,,3,,3,17,1,235,31,73,745,North America
Eswatini,22,,1,,8,13,,19,09,714,615,Africa
Botswana,20,,1,,,19,,9,04,4432,1885,Africa
Laos,19,,,,2,17,,3,,1333,183,Asia
Timor-Leste,19,,,,1,18,,14,,,,Asia
Belize,18,,2,,2,14,1,45,5,651,1637,North America
Fiji,18,1,,,3,15,,20,,,,Australia/Oceania
New Caledonia,18,,,,15,3,1,63,,3399,11906,Australia/Oceania
Malawi,17,,2,,3,12,1,09,01,429,22,Africa
Dominica,16,,,,8,8,,222,,345,4793,North America
Namibia,16,,,,6,10,,6,,524,206,Africa
Saint Kitts and Nevis,15,1,,,,15,,282,,247,4643,North America
Saint Lucia,15,,,,11,4,,82,,344,1873,North America
Curaçao,14,,1,,11,2,,85,6,286,1743,North America
Grenada,14,,,,6,8,4,124,,92,818,North America
CAR,12,,,,4,8,,2,,,,Africa
St. Vincent Grenadines,12,,,,1,11,,108,,87,784,North America
Turks and Caicos,11,,1,,,10,,284,26,83,2144,North America
Falkland Islands,11,,,,3,8,,3161,,319,91667,South America
Montserrat,11,,,,2,9,1,2204,,36,7212,North America
Seychelles,11,,,,5,6,,112,,,,Africa
Nicaragua,10,,2,,6,2,,2,03,,,North America
Gambia,10,,1,,2,7,,4,04,316,131,Africa
Suriname,10,,1,,6,3,,17,2,,,South America
MS Zaandam,9,,2,,,7,,,,,,
Vatican City,8,,,,2,6,,9988,,,,Europe
Papua New Guinea,7,,,,,7,,08,,167,19,Australia/Oceania
St. Barth,6,,,,5,1,,607,,,,North America
Western Sahara,6,,,,,6,,10,,,,Africa
British Virgin Islands,5,1,1,,3,1,,165,33,,,North America
Bhutan,5,,,,2,3,,6,,8107,10507,Asia
Caribbean Netherlands,5,,,,,5,,191,,110,4195,North America
Sao Tome and Principe,4,,,,,4,,18,,19,87,Africa
South Sudan,4,,,,,4,,04,,,,Africa
Anguilla,3,,,,1,2,,200,,,,North America
Saint Pierre Miquelon,1,,,,,1,,173,,,,North America
Yemen,1,,,,,1,,003,,,,Asia
China,82747,12,4632,,77084,1031,81,57,3,,,Asia
Total:,2409827,3252,165109,78,629235,1615483,54216,3092,212,,,All
